_query_time,_bill_type,_bill_id,_session_id,_cosponsor_type,_cosponsor_name,_cosponsor_id,_cosponsor_state,_cosponsor_title,_cosponsor_party,_cosponsor_date
2021-02-26_00-29-00,hr,hr1001-116,116,sponsor,Joaquín Castro,C001091,TX,Rep.,D,2019-02-06
2021-02-26_00-29-00,hr,hr1001-116,116,cosponsor,Jackie Walorski,W000813,IN,Rep.,R,2019-02-06
2021-02-26_00-29-00,hr,hr1001-116,116,cosponsor,Tulsi Gabbard,G000571,HI,Rep.,D,2019-02-06
2021-02-26_00-29-00,hr,hr1001-116,116,cosponsor,Raul Ruiz,R000599,CA,Rep.,D,2019-02-06
2021-02-26_00-29-00,hr,hr1001-116,116,cosponsor,Peter Welch,W000800,VT,Rep.,D,2019-02-06
2021-02-26_00-29-00,hr,hr1001-116,116,cosponsor,Mike Thompson,T000460,CA,Rep.,D,2019-02-06
2021-02-26_00-29-00,hr,hr1001-116,116,cosponsor,Eleanor Holmes Norton,N000147,DC,Del.,D,2019-02-06
2021-02-26_00-29-00,hr,hr1001-116,116,cosponsor,Mike Gallagher,G000579,WI,Rep.,R,2019-03-21
2021-02-26_00-29-00,hr,hr1001-116,116,cosponsor,Hank Johnson,J000288,GA,Rep.,D,2019-03-25
2021-02-26_00-29-00,hr,hr1001-116,116,cosponsor,Bob Gibbs,G000563,OH,Rep.,R,2019-04-12
2021-02-26_00-29-00,hr,hr1001-116,116,cosponsor,Andy Kim,K000394,NJ,Rep.,D,2019-04-12
2021-02-26_00-29-00,hr,hr1001-116,116,cosponsor,Brian Mast,M001199,FL,Rep.,R,2019-04-12
2021-02-26_00-29-00,hr,hr1001-116,116,cosponsor,Rodney Davis,D000619,IL,Rep.,R,2019-04-29
2021-02-26_00-29-00,hr,hr1001-116,116,cosponsor,Lloyd Doggett,D000399,TX,Rep.,D,2019-06-18
2021-02-26_00-29-00,hr,hr1001-116,116,cosponsor,Tim Ryan,R000577,OH,Rep.,D,2019-08-27
2021-02-26_00-29-00,hr,hr1001-116,116,cosponsor,Filemon Vela,V000132,TX,Rep.,D,2019-10-16
2021-02-26_00-29-00,hr,hr1001-116,116,cosponsor,Abigail Spanberger,S001209,VA,Rep.,D,2019-10-22
2021-02-26_00-29-00,hr,hr1001-116,116,cosponsor,Gilbert Cisneros,C001123,CA,Rep.,D,2019-10-22
2021-02-26_00-29-01,hr,hr1002-116,116,sponsor,Brian Fitzpatrick,F000466,PA,Rep.,R,2019-02-06
2021-02-26_00-29-01,hr,hr1002-116,116,cosponsor,Charlie Crist,C001111,FL,Rep.,D,2019-02-06
2021-02-26_00-29-01,hr,hr1002-116,116,cosponsor,Glenn Thompson,T000467,PA,Rep.,R,2019-02-06
2021-02-26_00-29-01,hr,hr1002-116,116,cosponsor,Jim McGovern,M000312,MA,Rep.,D,2019-02-06
2021-02-26_00-29-01,hr,hr1002-116,116,cosponsor,Thomas Suozzi,S001201,NY,Rep.,D,2019-02-07
2021-02-26_00-29-01,hr,hr1002-116,116,cosponsor,Eleanor Holmes Norton,N000147,DC,Del.,D,2019-02-08
2021-02-26_00-29-01,hr,hr1002-116,116,cosponsor,Christopher H. Smith,S000522,NJ,Rep.,R,2019-02-08
2021-02-26_00-29-01,hr,hr1002-116,116,cosponsor,Matt Gaetz,G000578,FL,Rep.,R,2019-02-08
2021-02-26_00-29-01,hr,hr1002-116,116,cosponsor,Rodney Davis,D000619,IL,Rep.,R,2019-02-11
2021-02-26_00-29-01,hr,hr1002-116,116,cosponsor,Peter T. King,K000210,NY,Rep.,R,2019-02-11
2021-02-26_00-29-01,hr,hr1002-116,116,cosponsor,Julia Brownley,B001285,CA,Rep.,D,2019-02-13
2021-02-26_00-29-01,hr,hr1002-116,116,cosponsor,Eliot L. Engel,E000179,NY,Rep.,D,2019-02-13
2021-02-26_00-29-01,hr,hr1002-116,116,cosponsor,Debbie Wasserman Schultz,W000797,FL,Rep.,D,2019-02-13
2021-02-26_00-29-01,hr,hr1002-116,116,cosponsor,Tim Ryan,R000577,OH,Rep.,D,2019-02-13
2021-02-26_00-29-01,hr,hr1002-116,116,cosponsor,Kathleen Rice,R000602,NY,Rep.,D,2019-02-14
2021-02-26_00-29-01,hr,hr1002-116,116,cosponsor,Peter A. DeFazio,D000191,OR,Rep.,D,2019-02-14
2021-02-26_00-29-01,hr,hr1002-116,116,cosponsor,Carolyn B. Maloney,M000087,NY,Rep.,D,2019-02-14
2021-02-26_00-29-01,hr,hr1002-116,116,cosponsor,Tom O'Halleran,O000171,AZ,Rep.,D,2019-02-14
2021-02-26_00-29-01,hr,hr1002-116,116,cosponsor,Mark Pocan,P000607,WI,Rep.,D,2019-02-14
